[2026-02-12T07:24:47.768+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-02-12T07:24:47.773+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: count_1_to_100_every_10_minutes.count_numbers scheduled__2026-02-12T07:10:00+00:00 [queued]>
[2026-02-12T07:24:47.775+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: count_1_to_100_every_10_minutes.count_numbers scheduled__2026-02-12T07:10:00+00:00 [queued]>
[2026-02-12T07:24:47.776+0000] {taskinstance.py:2867} INFO - Starting attempt 2 of 1
[2026-02-12T07:24:47.790+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): count_numbers> on 2026-02-12 07:10:00+00:00
[2026-02-12T07:24:47.795+0000] {standard_task_runner.py:72} INFO - Started process 225114 to run task
[2026-02-12T07:24:47.797+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'count_1_to_100_every_10_minutes', 'count_numbers', 'scheduled__2026-02-12T07:10:00+00:00', '--job-id', '15', '--raw', '--subdir', 'DAGS_FOLDER/count_1_to_100.py', '--cfg-path', '/tmp/tmpbzjris3f']
[2026-02-12T07:24:47.797+0000] {standard_task_runner.py:105} INFO - Job 15: Subtask count_numbers
[2026-02-12T07:24:47.904+0000] {task_command.py:467} INFO - Running <TaskInstance: count_1_to_100_every_10_minutes.count_numbers scheduled__2026-02-12T07:10:00+00:00 [running]> on host varmeta
[2026-02-12T07:24:47.933+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='count_1_to_100_every_10_minutes' AIRFLOW_CTX_TASK_ID='count_numbers' AIRFLOW_CTX_EXECUTION_DATE='2026-02-12T07:10:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-12T07:10:00+00:00'
[2026-02-12T07:24:47.934+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2026-02-12T07:24:47.934+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2026-02-12T07:24:47.934+0000] {logging_mixin.py:190} INFO - Current task name:count_numbers state:running start_date:2026-02-12 07:24:47.773422+00:00
[2026-02-12T07:24:47.934+0000] {logging_mixin.py:190} INFO - Dag name:count_1_to_100_every_10_minutes and current dag run status:running
[2026-02-12T07:24:47.934+0000] {taskinstance.py:732} INFO - ::endgroup::
[2026-02-12T07:25:21.946+0000] {logging_mixin.py:190} INFO - Counting: 35
[2026-02-12T07:25:22.946+0000] {logging_mixin.py:190} INFO - Counting: 36
[2026-02-12T07:25:23.947+0000] {logging_mixin.py:190} INFO - Counting: 37
[2026-02-12T07:25:24.947+0000] {logging_mixin.py:190} INFO - Counting: 38
[2026-02-12T07:25:25.947+0000] {logging_mixin.py:190} INFO - Counting: 39
[2026-02-12T07:25:26.948+0000] {logging_mixin.py:190} INFO - Counting: 40
[2026-02-12T07:25:27.948+0000] {logging_mixin.py:190} INFO - Counting: 41
[2026-02-12T07:25:28.948+0000] {logging_mixin.py:190} INFO - Counting: 42
[2026-02-12T07:25:29.949+0000] {logging_mixin.py:190} INFO - Counting: 43
[2026-02-12T07:25:30.949+0000] {logging_mixin.py:190} INFO - Counting: 44
[2026-02-12T07:25:31.949+0000] {logging_mixin.py:190} INFO - Counting: 45
[2026-02-12T07:25:32.950+0000] {logging_mixin.py:190} INFO - Counting: 46
[2026-02-12T07:25:33.950+0000] {logging_mixin.py:190} INFO - Counting: 47
[2026-02-12T07:25:34.951+0000] {logging_mixin.py:190} INFO - Counting: 48
[2026-02-12T07:25:35.951+0000] {logging_mixin.py:190} INFO - Counting: 49
[2026-02-12T07:25:36.951+0000] {logging_mixin.py:190} INFO - Counting: 50
[2026-02-12T07:25:37.952+0000] {logging_mixin.py:190} INFO - Counting: 51
[2026-02-12T07:25:38.952+0000] {logging_mixin.py:190} INFO - Counting: 52
[2026-02-12T07:25:39.953+0000] {logging_mixin.py:190} INFO - Counting: 53
[2026-02-12T07:25:40.953+0000] {logging_mixin.py:190} INFO - Counting: 54
[2026-02-12T07:25:41.955+0000] {logging_mixin.py:190} INFO - Counting: 55
[2026-02-12T07:25:42.955+0000] {logging_mixin.py:190} INFO - Counting: 56
[2026-02-12T07:25:43.956+0000] {logging_mixin.py:190} INFO - Counting: 57
[2026-02-12T07:25:44.956+0000] {logging_mixin.py:190} INFO - Counting: 58
[2026-02-12T07:25:45.956+0000] {logging_mixin.py:190} INFO - Counting: 59
[2026-02-12T07:25:46.957+0000] {logging_mixin.py:190} INFO - Counting: 60
[2026-02-12T07:25:47.957+0000] {logging_mixin.py:190} INFO - Counting: 61
[2026-02-12T07:25:48.958+0000] {logging_mixin.py:190} INFO - Counting: 62
[2026-02-12T07:25:49.958+0000] {logging_mixin.py:190} INFO - Counting: 63
[2026-02-12T07:25:50.959+0000] {logging_mixin.py:190} INFO - Counting: 64
[2026-02-12T07:25:51.959+0000] {logging_mixin.py:190} INFO - Counting: 65
[2026-02-12T07:25:52.959+0000] {logging_mixin.py:190} INFO - Counting: 66
[2026-02-12T07:25:53.960+0000] {logging_mixin.py:190} INFO - Counting: 67
[2026-02-12T07:25:54.960+0000] {logging_mixin.py:190} INFO - Counting: 68
[2026-02-12T07:25:55.960+0000] {logging_mixin.py:190} INFO - Counting: 69
[2026-02-12T07:25:56.961+0000] {logging_mixin.py:190} INFO - Counting: 70
[2026-02-12T07:25:57.961+0000] {logging_mixin.py:190} INFO - Counting: 71
[2026-02-12T07:25:58.961+0000] {logging_mixin.py:190} INFO - Counting: 72
[2026-02-12T07:25:59.962+0000] {logging_mixin.py:190} INFO - Counting: 73
[2026-02-12T07:26:00.962+0000] {logging_mixin.py:190} INFO - Counting: 74
[2026-02-12T07:26:01.962+0000] {logging_mixin.py:190} INFO - Counting: 75
[2026-02-12T07:26:02.963+0000] {logging_mixin.py:190} INFO - Counting: 76
[2026-02-12T07:26:03.964+0000] {logging_mixin.py:190} INFO - Counting: 77
[2026-02-12T07:26:04.964+0000] {logging_mixin.py:190} INFO - Counting: 78
[2026-02-12T07:26:05.964+0000] {logging_mixin.py:190} INFO - Counting: 79
[2026-02-12T07:26:06.965+0000] {logging_mixin.py:190} INFO - Counting: 80
[2026-02-12T07:26:07.965+0000] {logging_mixin.py:190} INFO - Counting: 81
[2026-02-12T07:26:08.965+0000] {logging_mixin.py:190} INFO - Counting: 82
[2026-02-12T07:26:09.966+0000] {logging_mixin.py:190} INFO - Counting: 83
[2026-02-12T07:26:10.966+0000] {logging_mixin.py:190} INFO - Counting: 84
[2026-02-12T07:26:11.967+0000] {logging_mixin.py:190} INFO - Counting: 85
[2026-02-12T07:26:12.967+0000] {logging_mixin.py:190} INFO - Counting: 86
[2026-02-12T07:26:13.967+0000] {logging_mixin.py:190} INFO - Counting: 87
[2026-02-12T07:26:14.968+0000] {logging_mixin.py:190} INFO - Counting: 88
[2026-02-12T07:26:15.968+0000] {logging_mixin.py:190} INFO - Counting: 89
[2026-02-12T07:26:16.969+0000] {logging_mixin.py:190} INFO - Counting: 90
[2026-02-12T07:26:17.969+0000] {logging_mixin.py:190} INFO - Counting: 91
[2026-02-12T07:26:18.970+0000] {logging_mixin.py:190} INFO - Counting: 92
[2026-02-12T07:26:19.970+0000] {logging_mixin.py:190} INFO - Counting: 93
[2026-02-12T07:26:20.970+0000] {logging_mixin.py:190} INFO - Counting: 94
[2026-02-12T07:26:21.971+0000] {logging_mixin.py:190} INFO - Counting: 95
[2026-02-12T07:26:22.971+0000] {logging_mixin.py:190} INFO - Counting: 96
[2026-02-12T07:26:23.972+0000] {logging_mixin.py:190} INFO - Counting: 97
[2026-02-12T07:26:24.972+0000] {logging_mixin.py:190} INFO - Counting: 98
[2026-02-12T07:26:25.973+0000] {logging_mixin.py:190} INFO - Counting: 99
[2026-02-12T07:26:26.973+0000] {logging_mixin.py:190} INFO - Counting: 100
[2026-02-12T07:26:27.974+0000] {python.py:240} INFO - Done. Returned value was: None
[2026-02-12T07:26:27.978+0000] {taskinstance.py:341} INFO - ::group::Post task execution logs
[2026-02-12T07:26:27.978+0000] {taskinstance.py:353} INFO - Marking task as SUCCESS. dag_id=count_1_to_100_every_10_minutes, task_id=count_numbers, run_id=scheduled__2026-02-12T07:10:00+00:00, execution_date=20260212T071000, start_date=20260212T072447, end_date=20260212T072627
[2026-02-12T07:26:28.015+0000] {logging_mixin.py:190} INFO - Task instance in success state
[2026-02-12T07:26:28.016+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: running
[2026-02-12T07:26:28.016+0000] {logging_mixin.py:190} INFO - Dag name:count_1_to_100_every_10_minutes queued_at:2026-02-12 07:23:23.434531+00:00
[2026-02-12T07:26:28.016+0000] {logging_mixin.py:190} INFO - Task hostname:varmeta operator:PythonOperator
[2026-02-12T07:26:28.029+0000] {local_task_job_runner.py:266} INFO - Task exited with return code 0
[2026-02-12T07:26:28.034+0000] {taskinstance.py:3901} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2026-02-12T07:26:28.034+0000] {local_task_job_runner.py:245} INFO - ::endgroup::
